"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1918408211373367504","Fri May 02 20:52:14 +0000 2025","0","Kan IKN belum pakai 6G atau 10G seperti dichina? https://t.co/noemDpF8pB","1918408211373367504","https://pbs.twimg.com/ext_tw_video_thumb/1918408135418757120/pu/img/LwqQmXwEaL1MDAJZ.jpg","","in","","1","0","0","https://x.com/senjapetang077/status/1918408211373367504","1902383775725838336","senjapetang077"
"1918138129548230786","Fri May 02 20:44:00 +0000 2025","0","@iamgeprexwin @lun_jar @ApriliaLin Dari cara ngomong udah keliatan siapa yg lebih bobrok masyarakat berpikir kritis kok dibilang idiot emang sesempurna apa negara ini sesempurna apa mulyono dari dulu mobil esemka sampe sekarang ikn juga gak ada yg bener omongannya si mulyono","1918406137889914889","","iamgeprexwin","in","","0","1","0","https://x.com/MuzasRicci/status/1918406137889914889","1651899521771900929","MuzasRicci"
"1918152375585653110","Fri May 02 20:06:23 +0000 2025","0","@Srik4ndiMuslim2 Pengalihan isu ijazah palsu. Jan terpengaruh GAS GASAN IJAZAH JA #BasmiPremanBengis #BasmiPremanBengis","1918396673564524733","","Srik4ndiMuslim2","in","","0","0","0","https://x.com/IKNK0t4M4t1_/status/1918396673564524733","1847674740041039872","IKNK0t4M4t1_"
"1918115923933970588","Fri May 02 20:03:58 +0000 2025","0","@RoemahDjoeang45 @BelengBeleng687 @Dracul4R3born7 Ijazah palsu itu melibatkan banyak pihak. Artinya ada pihak yg mau mendukung kebohongan #BasmiPremanBengis #BasmiPremanBengis NILAI AKADEMIK DITUKAR DGN SELEMBAR CEK 29 MILIAR 100 MILIAR JABATAN KOMISARIS. HINA KALI https://t.co/j4sGmpAsEE","1918396062957797621","https://pbs.twimg.com/media/Gp-DC6mbQAEaOTw.jpg","RoemahDjoeang45","in","","0","0","0","https://x.com/IKNK0t4M4t1_/status/1918396062957797621","1847674740041039872","IKNK0t4M4t1_"
"1918133016469356727","Fri May 02 20:02:17 +0000 2025","1","@arsyamoi Oh Tuan JKW gak suka pakai jam tangan #BasmiPremanBengis #BasmiPremanBengis BEDA DGN PEMILIK FOTO DI IJAZAH NYA: PAKAI JAM TANGAN DI TANGAN KIRI. WAK! https://t.co/4s9Cs4VpPF","1918395639890886718","https://pbs.twimg.com/media/Gp-CqvbagAAecuy.jpg","arsyamoi","in","","0","0","1","https://x.com/IKNK0t4M4t1_/status/1918395639890886718","1847674740041039872","IKNK0t4M4t1_"
"1917888446926078220","Fri May 02 20:00:46 +0000 2025","1","@ade_rusmaya @puanmaharani_ri Ada pengalihan isu ijazah palsu. Gas ijazah palsu #BasmiPremanBengis #BasmiPremanBengis Manajemen JKW BURUK. IJAZAH PALSU ITU DITUTUP DGN IJAZAH ASLI BUKAN DGN PREMAN","1918395260939714974","","ade_rusmaya","in","","0","1","0","https://x.com/IKNK0t4M4t1_/status/1918395260939714974","1847674740041039872","IKNK0t4M4t1_"
"1918395010187444424","Fri May 02 19:59:47 +0000 2025","0","Tibang ngasih browies 35 ribu aja ribut banget mending urusin IKN noh","1918395010187444424","","","in","12番道路","0","0","0","https://x.com/drabigon/status/1918395010187444424","3118664928","drabigon"
"1918223322208453071","Fri May 02 17:16:52 +0000 2025","1","@Fahmy_TEGAL @f_fathur Y betul hasil kerjanya kan mobil esemka 6rb unit narik investor k ikn 11 ribu triliun ekonomi meroket dan banyak lgi yg lainnya","1918354013864771803","","Fahmy_TEGAL","in","","0","0","0","https://x.com/Znlarfn4/status/1918354013864771803","1464963190719086597","Znlarfn4"
"1918352822976094286","Fri May 02 17:12:08 +0000 2025","0","anj gua masih malu keinget jawaban pas SMA tentang IKN mana sampe diketawain guru malunya kerasa sampe skrg dawgg (( tp untung bkn cm gw yg salah jawab))","1918352822976094286","","","in","","0","0","0","https://x.com/cikgukayla/status/1918352822976094286","1763439764605403136","cikgukayla"
"1918300222226305209","Fri May 02 17:10:46 +0000 2025","0","@hera_the_pink betul kimi selamat tiket freepass ke IKN","1918352477348622447","","hera_the_pink","in","Amsterdam, The Netherlands","0","1","0","https://x.com/grasiazs/status/1918352477348622447","1518218863770763264","grasiazs"
